codFab;nomFab;;;;;;;;;;;;;;;;;;;;;;;;;
11.111.111-1;PNY;;;;;;;;;;;;;;;;;;;;;;;;;
44.444.444-4;WD;;;;;;;;;;;;;;;;;;;;;;;;;
55.555.555-5;Kingston;;;;;;;;;;;;;;;;;;;;;;;;;
22.222.222-2;Lexar;;;;;;;;;;;;;;;;;;;;;;;;;
66.666.666-6;Gigabyte;;;;;;;;;;;;;;;;;;;;;;;;;
77.777.777-7;Corsair;;;;;;;;;;;;;;;;;;;;;;;;;
33.333.333-3;Crucial;;;;;;;;;;;;;;;;;;;;;;;;;
88.888.888-8;HP;;;;;;;;;;;;;;;;;;;;;;;;;
99.999.999-9;Asus;;;;;;;;;;;;;;;;;;;;;;;;;
16.757.191-3;Samsung;;;;;;;;;;;;;;;;;;;;;;;;;
15.812.468-8;Apple;;;;;;;;;;;;;;;;;;;;;;;;;
22.931.081-k;Seagate;;;;;;;;;;;;;;;;;;;;;;;;;
17.392.148-9;Toshiba;;;;;;;;;;;;;;;;;;;;;;;;;
